id,created_at,text
778977820554952704,2016-09-22 15:22:39,"RT @MarkRuffalo: Amount of Fossil fuels we can extract and still beat climate change? ZERO, ZIP, NADA Recalculating the Climate Math  https…"
778592687259869184,2016-09-21 13:52:16,RT @nytimes: Hillary Clinton: My plan for helping America's poor https://t.co/L6UTnTnEEq via @nytopinion https://t.co/1sUBEPjIHZ
778265578855342084,2016-09-20 16:12:28,"What would a Donald Trump presidency mean for the people of this country? I think it would be an absolute disaster, beyond a disaster."
778231062564601856,2016-09-20 13:55:18,One thing I am proud of is that there's a lot more support for the concept of democratic socialism today than there was before the campaign.
778224257088323584,2016-09-20 13:28:16,RT @thenation: Bernie Sanders: The ‘Nation’ Interview https://t.co/5PVLlAFCvP
777989044072484864,2016-09-19 21:53:37,"RT @PramilaJayapal: RT if you look forward to seeing these two standing together in Congress!
@PramilaJayapal &amp; @ZephyrTeachout #NotMeUs ht…"
777941255888203777,2016-09-19 18:43:43,"When @HillaryClinton says she’s going to make public colleges and universities tuition-free, you know what? That's a very big deal."
777878848671219712,2016-09-19 14:35:44,"""In large part because of all of you, I am convinced that America's best days are ahead of us."" –@HillaryClinton https://t.co/0QmvWXibPw"
777623736858054656,2016-09-18 21:42:01,"Whether we boldly address the crisis of climate change or make a bad situation worse, depends on the outcome of this election."
777533160246480896,2016-09-18 15:42:05,"When we stand together - as white, black and hispanic, gay and straight, women and men - we trump hate. https://t.co/B8aVUwudDc"
777502937740435456,2016-09-18 13:42:00,"It is crazy that we have veterans sleeping out on the streets, who risked their lives to defend us."
777278382396600320,2016-09-17 22:49:42,"RT @ABCPolitics: .@BernieSanders criticizes Trump's ""birther"" statements: ""A man who does things like that must not become president"" https…"
777276701386637313,2016-09-17 22:43:01,"You don't run a campaign, as Donald Trump has done, based on bigotry - trying to divide us up, scapegoating Muslims, Mexicans and others."
777226915052519424,2016-09-17 19:25:11,I have 7 beautiful grandchildren and 4 kids. I do not want Donald Trump to be their president. https://t.co/cXIoq1n5Po
777216051620745218,2016-09-17 18:42:01,.1 percent of Americans own 90 percent of the wealth. But Donald Trump wants to give more tax breaks to the top 1 percent.
777192925860167680,2016-09-17 17:10:07,"This is the wealthiest country in the world, yet children have been poisoned by lead in the water because of crumbling infrastructure."
777176037776130048,2016-09-17 16:03:01,"I happen to believe, and @HillaryClinton happens to believe, that if you work 40 hours a week you should not be living in poverty."
777168653313867777,2016-09-17 15:33:40,"When your friends say they won't vote, ask how much student debt they have. There's only one candidate who will make college affordable."
777167367793246208,2016-09-17 15:28:34,When we talk about public education it's no longer good enough to talk about 1st-12th grade. We must talk about making college tuition free.
777166833707343872,2016-09-17 15:26:26,"In the year 2016, we cannot accept bigotry as the cornerstone of any campaign for president of the United States."
777166004803731456,2016-09-17 15:23:09,"Donald Trump was a leader in the ""Birther Movement,"" which tried to delegitimize President Obama. That is nothing less than racism."
777165023072358400,2016-09-17 15:19:15,RT @NBCNews: WATCH LIVE: Bernie Sanders campaigns for Hillary Clinton in Ohio https://t.co/36HxZirvMm
777148186213359616,2016-09-17 14:12:20,What is Donald Trump's position on climate change? He thinks it's a hoax perpetrated by the Chinese. That is insane.
776957854448095232,2016-09-17 01:36:02,"I very rarely quote @MittRomney but he hit the nail on the head when he said Donald Trump is a “fraud” and a “phony."""
776913706512969728,2016-09-16 22:40:36,".@KatieMcGintyPA is going to join me and Elizabeth Warren and together we are saying to the billionaire class, “You cannot have it all."""
776882976739168260,2016-09-16 20:38:30,"RT @TheDemocrats: ""If you look at the issues... @HillaryClinton by far is the superior candidate."" -@BernieSanders https://t.co/Iw9pxGbuIS"
776881866355781633,2016-09-16 20:34:05,Donald Trump isn’t going to stand with working people. He's a billionaire who calls for massive tax breaks for the 1 percent.
776864059270500352,2016-09-16 19:23:19,Join me and @KatieMcGintyPA today at 5 PM. https://t.co/mXCFvjOkTW
776861889821368320,2016-09-16 19:14:42,.@ZephyrTeachout is a leader at a time when we are in desperate need of bold leaders.
776804540557369344,2016-09-16 15:26:49,"We cannot allow ourselves to be divided by the bigoted, xenophobic hysteria the Republican party has concocted."
776588424446783488,2016-09-16 01:08:03,Private prisons are not cheaper or safer. They are just morally repugnant. https://t.co/zyJolF79kT
776556617785630720,2016-09-15 23:01:40,Katie McGinty was one of the first Senate candidates to back a $15 minimum wage. I'm pleased to join her on Friday. https://t.co/752XI1xxOw
776541004727980032,2016-09-15 21:59:37,Those concerned about the cost of transitioning to renewable energy should truly fear the cost if we fail to do so. https://t.co/KmfivHRfNT
776507334738710529,2016-09-15 19:45:50,Our political revolution needs people like Zephyr Teachout in Congress. RSVP here: https://t.co/b1Il48ZgZs https://t.co/z999VzNNQk
776470365786759168,2016-09-15 17:18:55,This country and this planet cannot afford to elect people who continue to believe that climate change is a hoax. https://t.co/V35rya3nbf
