id,created_at,text
776232580198739968,2016-09-15 01:34:03,It's time we pursue policies that transform America into a nation that affirms the value of its people of color. https://t.co/eX3gG5IPdy
776209434548723712,2016-09-15 00:02:05,Our trade deals have been written by corporate CEOs to benefit corporate CEOs—at the expense of regular citizens. https://t.co/VD12KKRpPf
776176721884241921,2016-09-14 21:52:05,"Like NAFTA, the TPP would force U.S workers to compete with folks making pennies an hour. It's a race to the bottom. https://t.co/9XNIevo19V"
776136711348686849,2016-09-14 19:13:06,I applaud the broad coalition that has organized a national day of action to ensure Congress #StopTPP
776111579058364420,2016-09-14 17:33:14,"Our free trade agreements have been a disaster. The Trans-Pacific Partnership is more of the same, but even worse. https://t.co/Xzha33SUFh"
776078305271263232,2016-09-14 15:21:01,"Corporate-backed trade
agreements like TPP have significantly contributed to the race to the bottom and the collapse of our middle class."
775817347881775110,2016-09-13 22:04:04,Someone who is working 40 hours a week should not be struggling to provide food for their family. https://t.co/a7ZZeHoWwy
775792193663406084,2016-09-13 20:24:07,"It's unacceptable that for so long, Native Americans have been treated as third class citizens. That has to change. https://t.co/7jwtisgpTb"
775773152643207168,2016-09-13 19:08:27,We can't make the changes this country needs unless we are prepared to take on Wall Street and corporate America. https://t.co/gC0wTRUvnZ
775732508721868801,2016-09-13 16:26:57,We don't need another fracked oil pipeline. Now is the time to transition away from fossil fuel. #NoDAPL https://t.co/GsMb7Lfg1b
775500270373474304,2016-09-13 01:04:07,We cannot ignore the emotional and physical destruction that occurs when we ignore the needs of children in poverty. https://t.co/q75Pr6aiuV
775467550981304320,2016-09-12 22:54:06,I was able to work with Secretary Clinton on this major step forward in the fight for college affordability. https://t.co/L6kpQVB2lz
775444271877001222,2016-09-12 21:21:36,"Our message to young people must be clear: You will not be punished for growing up poor. If you work hard, you will get to go to college."
775426896628748288,2016-09-12 20:12:33,RT @KatieMcGintyPA: Don't miss out on Bernie Sanders campaigning with Katie this Friday in Pittsburgh! Register: https://t.co/XR8pGzseDx ht…
775395301943377920,2016-09-12 18:07:00,We need to come together to prevent hatred and create the kind of nation based on love that we all know we can become.
775355058351255553,2016-09-12 15:27:05,We have a debt that we owe the Native American people that we can never fully repay. https://t.co/FQStQdzabr
775116979774435328,2016-09-11 23:41:03,"Our job is to not allow politicians to divide us up by where our family came from, our skin color, our religion or sexual orientation."
775044361490984960,2016-09-11 18:52:30,"It can seem easy to turn our backs on the vulnerable, but I believe what human life is about is everyone has an impact on everyone else."
774984676721172480,2016-09-11 14:55:20,"It speaks to the best of who we are as Americans that in a moment of crisis, the people of our nation came together. https://t.co/gAK4ujbg6a"
774786873025781760,2016-09-11 01:49:20,"If Wall Street banks do not end their fraud and their greed, it is up to us to end it for them. https://t.co/SvkY7GJozm"
774725522571919361,2016-09-10 21:45:32,"As more information comes out about what the TPP would really do, more voters are taking a stand against it. https://t.co/8s81JzO6Pj"
774671061178732544,2016-09-10 18:09:08,There is a lot we can learn if we begin to listen to our Native American brothers and sisters. #NoDAPL https://t.co/DukyGGz0t1
774637674699292673,2016-09-10 15:56:28,I remember when the same folks who now back TPP told us how many jobs would be created by NAFTA. They were wrong then and they're wrong now.
774412358143778816,2016-09-10 01:01:08,"The government must start listening to Native American voices, and stop treating them as third class citizens."
774388450850136064,2016-09-09 23:26:08,Time and time again the government has broken its solemn promise to respect Native American sovereign rights. Now it's time for real change.
774357243265372160,2016-09-09 21:22:08,Don't believe anyone who tells you we cannot change the status quo. #NoDAPL  https://t.co/TM99D8Pf8J
774318504283557888,2016-09-09 18:48:12,We stand with our Native American brothers and sisters in their fight to protect their sovereign rights. #NoDAPL https://t.co/ysIonwFPoN
774289908500426753,2016-09-09 16:54:34,It is abhorrent that pro-TPP politicians are taking the side of corporate America over groups that represent workers and the environment.
774262293349666816,2016-09-09 15:04:50,The TPP is not only a threat to our workers and the environment—it also threatens our democracy and rule of law.  https://t.co/BZ8nmJuU3I
774058786784878593,2016-09-09 01:36:10,"Let's end the system of private prisons and detention centers, and the era of mass incarceration along with it. https://t.co/alONnfwCJE"
774028870609698816,2016-09-08 23:37:18,"Thank you all for the birthday wishes. But more than that, thank you for your incredible support over the last year. https://t.co/1kl6RDRlml"
773990291137257476,2016-09-08 21:04:00,You all transformed a campaign into an extraordinary and historic movement. And we're not done yet. #readthebern https://t.co/XyBW6hu3qL
773970695206244352,2016-09-08 19:46:08,Congress cannot continue to ignore reality. The current minimum wage is a starvation wage and we have to raise it.  https://t.co/VY59X9l3XO
773915024775532544,2016-09-08 16:04:55,Our Native American brothers and sisters &amp; environmental justice advocates have transformed #NoDAPL into a movement. https://t.co/wpWtfvDpCL
773666579557019649,2016-09-07 23:37:41,Taking care of veterans is a cost of war. It’s that simple. https://t.co/r59b9HlcrL
773641092378030080,2016-09-07 21:56:24,Earthquakes like those in Oklahoma are just one of fracking's effects we must fight to keep out of N. Dakota #noDAPL https://t.co/Erd0HaXbUd
773593154746482688,2016-09-07 18:45:55,Fights like #noDAPL have long-term consequence. It is a fight for the type of planet our children will inhabit. https://t.co/PHM9vRHdDj
773539129724370944,2016-09-07 15:11:14,RT @voxdotcom: This simple cartoon shows how US taxpayers help make rich bankers even richer https://t.co/0Mx1fFhcCz https://t.co/BxNllPl8vN
773339534834610176,2016-09-07 01:58:07,"Two-thirds of Americans want to eliminate the offshore tax haven loophole. It's time for Congress to stand with them, not big corporations."
773321623877189632,2016-09-07 00:46:57,Robert Reich is right. It's about time Congress shut the loopholes corporations use to hide the billions they owe. https://t.co/ETQbTDSo82
773290442909769728,2016-09-06 22:43:03,Mylan thinks we should just accept their price gouging and greed as normal. It isn't normal. It's an outrage. https://t.co/hw5codV7vv
773277341149782016,2016-09-06 21:50:59,"RT @zhaabowekwe: Today, women warriors lock down to defend our water &amp; the seventh generation. #NoDAPL #LoveWaterNotOil https://t.co/jZY3Uq…"
773262648477618178,2016-09-06 20:52:36,Most major nations negotiate with drug companies on their citizens' behalf to keep costs down. Our government should be able to do the same.
773216750062055424,2016-09-06 17:50:13,The future of prescription costs in America comes down to this: Do we have the guts to stand up to drug companies who are ripping us off?
773197771310522368,2016-09-06 16:34:48,The epidemic of price gouging in the drug industry is obscene. Their greed is putting millions of lives at risk. https://t.co/BeFM2IStJK
772964332418191360,2016-09-06 01:07:12,The need for real campaign finance reform is not a progressive or conservative issue. It is an American issue. https://t.co/j5y0Y6Qp8d
772941485058555904,2016-09-05 23:36:25,"Billionaires like the Kochs spend millions to elect anti-union officials because they know when unions suffer, all workers' wages go down."
772908231500759040,2016-09-05 21:24:16,Unions are my family. Standing with workers on picket lines is something I've done my entire life-- that's what I do and what I believe.
772905844040228864,2016-09-05 21:14:47,"RT @DannyEFreeman: ""My dislike for Donald Trump is not just that he is a pathological liar..."" @BernieSanders says in NH. https://t.co/Qtgm…"
772894184168652800,2016-09-05 20:28:27,RT @Maggie_Hassan: It’s truly an honor to have a champion for middle class families like @BernieSanders supporting Maggie #nhpolitics https…
772872498484432896,2016-09-05 19:02:17,"We need a strong union movement to rebuild our middle class. When unions do well, wages rise for everyone. #LaborDay https://t.co/GtaEEph4G7"
772845720420352002,2016-09-05 17:15:53,"Social Security, Medicare and workplace safety are just a few of the benefits we now enjoy thanks to the the struggle of unions. #LaborDay"
772608074603384833,2016-09-05 01:31:34,I have stood with unions all of my life and I will continue to do so in fighting the disastrous TPP.
772580445179502592,2016-09-04 23:41:46,"We've had enough of ""free trade"" deals like the TPP that benefit CEOs at the expense of workers. https://t.co/sclnvlLi6P"
772518784720568320,2016-09-04 19:36:45,"If we are serious about getting big money out of politics and restoring our democracy, we must move toward public funding of campaigns."
772495150056607745,2016-09-04 18:02:50,The political revolution is about making sure anyone can run for office and not have to beg the rich for donations. https://t.co/abWEqMcnee
772222955191316480,2016-09-04 00:01:14,"When the vote of the poor and minorities is suppressed, it becomes that much easier for the ruling class to further rig the system."
772187689198112768,2016-09-03 21:41:06,To politicians who pass laws to suppress the vote I say: Get another job. https://t.co/488Tww7Hqy
772157003812659200,2016-09-03 19:39:10,"Considering the planetary crisis we face, it is completely inappropriate to continue giving billions in tax breaks to fossil fuel companies."
772134870650753024,2016-09-03 18:11:13,It is time to stop treating Puerto Rico like a colony and start treating its people as the U.S. citizens they are. https://t.co/3R8kKA05NH
771892529402814467,2016-09-03 02:08:14,"The only honest, cost-effective approach to universal health care is a single-payer approach. https://t.co/Mk5j1p4e4q"
771859287073169408,2016-09-02 23:56:09,History will record that the Citizens United decision is one of the worst in the history of our country. https://t.co/bjh5tOKoW4
771792432384004097,2016-09-02 19:30:29,"Our reliance on fossil fuels isn't only disastrous for the environment, but disastrous for our financial well-being. https://t.co/u7V1Jgm19V"
771417743312744448,2016-09-01 18:41:36,"RT @russfeingold: “I’ll work for equal pay for women, and for paid leave so parents can care for a sick family member."" https://t.co/xKANoo…"
771417637226242048,2016-09-01 18:41:11,"RT @ZephyrTeachout: If Trump Gets His Way, Real Estate Will Get Even More Tax Breaks https://t.co/y0sD5p6bNv"
771417590799433728,2016-09-01 18:41:00,"RT @billmckibben: 8 WA state tribes arrive at Standing Rock pipeline protest camp, bearing a remarkable totem pole #NoDAPL https://t.co/RJp…"
771341475221209089,2016-09-01 13:38:33,"We must not allow Puerto Rico’s budget to be balanced on the backs of the most vulnerable people – working families, children and the poor."
771340581360508928,2016-09-01 13:35:00,Disappointing to hear that Puerto Rico's fiscal control board will include some of the architects of the crisis on the island. #PROMESA
771032969142267904,2016-08-31 17:12:39,"RT @GunnelsWarren: Republicans in NC are political cowards. If you don't want people to vote, get out of politics.  Get another job. https:…"
771030563834781696,2016-08-31 17:03:06,"Wealth inequality is obscenely high and workers’ wages are obscenely low. We need more unions, not less. https://t.co/GtaEEoZtOz"
771011316807036928,2016-08-31 15:46:37,This country needs Medicare-for-All. It's time for a more progressive health care system. https://t.co/leStBM1zH2
770992459384025088,2016-08-31 14:31:41,RT @CWAUnion: New @HuffingtonPost piece on #TPP's secretive super-court system called ISDS. Another reason why we must #StopTPP https://t.c…
770986443640627200,2016-08-31 14:07:47,Mylan should be ashamed for gouging the prices of such an important and life-saving drug. https://t.co/ABxs9Pe0FB
770754509379346432,2016-08-30 22:46:09,"We need more unions in this country, not less. https://t.co/UzCJhI2IMP"
770754144374325248,2016-08-30 22:44:42,"RT @PramilaJayapal: ""I am opposed to the TPP. We need trade deals that put workers &amp; the environment first &amp; that raise standards of worker…"
770710581292785665,2016-08-30 19:51:36,"While 16 million kids live in poverty in this country, the rich continue to get richer. https://t.co/qRntop2Q6r"
770681008417013760,2016-08-30 17:54:05,The best way to effectively and rapidly create meaningful jobs is to rebuild this nation's infrastructure.
770669955436150784,2016-08-30 17:10:10,"RT @Maggie_Hassan: ""@BernieSanders is an incredible champion for hard-working families, and I'm truly honored by his support"" - MH"
770649510527852544,2016-08-30 15:48:55,"RT @CatherineForNV: .@BernieSanders Grateful for your support! Eager to join forces to get dirty, dark money, like the Koch brothers', out…"
770631570642366464,2016-08-30 14:37:38,Huge corporations can’t be allowed to use loopholes and tax havens to boost their obscene profits even higher. I applaud the EU’s decision.
770631412756180993,2016-08-30 14:37:01,"Apple's earnings in 2015 were the highest reported of any corporation in history, yet apparently that wasn't enough. https://t.co/BPiMjwsGk0"
770618244285681664,2016-08-30 13:44:41,.@PramilaJayapal is absolutely right. Love trumps hatred. https://t.co/dxqEiCIn4u
770418992964104192,2016-08-30 00:32:56,I haven't seen a single major Wall Street executive be prosecuted for causing the near collapse of our entire economy.
770401018198777858,2016-08-29 23:21:30,Why is it that kids are jailed for possessing marijuana but nothing happens to Wall Street execs whose illegal behavior harmed millions?
770377181784633344,2016-08-29 21:46:47,"Study after study shows the same thing: women make less than men for equal work, and women of color make even less. https://t.co/a7bH0a57Ov"
770345579578818561,2016-08-29 19:41:13,We need rational immigration policies in America that offer a pathway to citizenship. We shouldn't be promoting divisiveness.
770328684108603392,2016-08-29 18:34:04,"This type of greed is shameful, and if Mylan thinks the American people are going to accept this so-called ""compromise,"" they are mistaken."
770328468861124608,2016-08-29 18:33:13,Mylan recently announced a generic version for $300. That's still five times as expensive as it was in 2007: a 526% increase in total.
770328099292647424,2016-08-29 18:31:45,"In 2007, when Mylan first started selling their EpiPens, they only cost $57. Last week, the price was $600. https://t.co/az4XOpQoPE"
770293432468332544,2016-08-29 16:14:00,The obscene greed of Wall Street and corporate America is slowly destroying the fabric of this nation. We must stop them.
769973507706978304,2016-08-28 19:02:44,"RT @democracynow: ""This pipeline is going to bring about 250,000-per-day tons of carbon into the atmosphere... And that's wrong"" https://t.…"
