id,created_at,text
778985572215955456,2016-09-22 15:53:27,"Donald Trump is really good at spending other people's money—on:

Legal settlements.
Payoffs.
Portraits of himself. https://t.co/C5bXw5brI9"
778976591770714112,2016-09-22 15:17:46,RT @RachaelGass: Holding back tears right now. For those of us that didn't grow up with #ADA this is amazing. #imwithher #CripTheVote
778957908990189568,2016-09-22 14:03:32,RT @funnyordie: .@HillaryClinton sits down Between Two Ferns with Zach Galifianakis for her most memorable interview yet. https://t.co/169e…
778772872659628033,2016-09-22 01:48:16,Trump should have to answer exactly why he refuses to believe that @POTUS is American. https://t.co/NReJ3wJE8l
778765262933880832,2016-09-22 01:18:02,RT @YoungPwD4HRC: Trump mocks people with disabilities. Hillary Clinton wants to expand their job opportunities https://t.co/GuuwvJgwER
778760862169440256,2016-09-22 01:00:32,"No child should ever have to grow up in poverty, yet far too many do. We have to do better. Here's how: https://t.co/Qo1RmQDwd6"
778755177310486528,2016-09-22 00:37:57,"""You would think there is almost, like, something wrong."" —Donald Trump on Mitt Romney failing to release his tax r… https://t.co/VzUQByCN2A"
778747606864306176,2016-09-22 00:07:52,Going to bat for kids who are too often counted out has always been a priority for Hillary. https://t.co/lTxRVn3NBM
778731850302758912,2016-09-21 23:05:15,".@TimKaine is more than just a great running mate—he's a great guy to have as a friend, too. https://t.co/5WX2qYgUjC"
778713373873700864,2016-09-21 21:51:50,We need a president who sees the best in all of us. https://t.co/vX0Oycto1Q
778705291168755712,2016-09-21 21:19:43,"RT @TheBriefing2016: Happy anniversary! 4 years ago today, Romney released his 2011 tax returns (which Trump urged him to do). Where are Tr…"
778682662781227008,2016-09-21 19:49:48,"A disability shouldn't define your future.

At @ChildDefender, Hillary helped give kids the chance to succeed. https://t.co/jaMcdARYn1"
778673342404501504,2016-09-21 19:12:46,"We believe that everyone has value.
We believe that everyone's created equal.
We believe that love trumps hate.
https://t.co/tTgeqxNqYm"
778672847610839040,2016-09-21 19:10:48,We'll make our economy and country more welcoming to people with disabilities. We all win when everyone gets to share in America's promise.
778672424128811009,2016-09-21 19:09:07,"The ultimate test of our society is how we treat our fellow human beings, especially those who we have previously left behind."
778671551298297856,2016-09-21 19:05:39,Americans with disabilities deserve the chance to work alongside those without disabilities—to do the same jobs for the same pay &amp; benefits.
778671261819994113,2016-09-21 19:04:30,"We’ve got to build an economy that welcomes people with disabilities, values their work, rewards them fairly, and treats them with respect."
778670985516048384,2016-09-21 19:03:24,Over 60% of adults with disabilities aren’t in the workplace. We have to fix that. https://t.co/J3Jq21ejtR
778670400830070784,2016-09-21 19:01:05,RT @HFA: The ADA and the notion that workplaces and public spaces belong to everyone was one that Democrats and Republicans could both get…
778670110319972353,2016-09-21 18:59:55,None of us gets through life alone. We all have to look out for each other and lift each other up.
778669685474811904,2016-09-21 18:58:14,RT @HFA: One of Hillary's first jobs out of law school was to find out why kids with disabilities weren't in school. https://t.co/vPMCYQmbls
778669114063806464,2016-09-21 18:55:58,"RT @HFA: Not that long ago, if you had a disability, it defined your entire life. Basic, essential things that others could do, you couldn’…"
778668146966335488,2016-09-21 18:52:07,"RT @feministabulous: It's still legal to pay disabled workers less than the minimum wage and Clinton announces her plan to end that:
https:…"
