id,created_at,text
778978035907256320,2016-09-22 15:23:31,"From @NRO: The U.S. Must Not Allow Russia and China to Threaten Global Internet Freedom https://t.co/0VkRv3Cjuq

https://t.co/rc7UrrIFjy"
778966337645314048,2016-09-22 14:37:02,In 9 days the Obama admin will give away US internet oversight to an international body akin to the UN. Help stop i… https://t.co/DcAIsnTpvt
778959587697315841,2016-09-22 14:10:12,RT @Kredo0: BREAKING: Congress Prepares to Counter Obama Admin’s Anti-Israel Push At U.N.-- Top Repubs Break With 'Weak' AIPAC https://t.co…
778780620121976832,2016-09-22 02:19:03,"RT @tedcruz: Fight to protect freedom on the internet: https://t.co/Gi4ki4Bxnd

WATCH what is at stake --&gt; https://t.co/1oj1QAfkHd"
778704580947304448,2016-09-21 21:16:54,Now is the time for Congress to stand united to prevent Obama’s internet handover: https://t.co/rc7UrrIFjy https://t.co/y2FWDkTBKy
778704296791543810,2016-09-21 21:15:46,Appreciate @realDonaldTrump’s support of our efforts to keep the internet free: https://t.co/gc4aRustpx
778673092931432448,2016-09-21 19:11:47,RT @EmilyMiller: Iran Cash: GOP Senate Wants to Aid Israel Self Defense - Watch my @OANN report @LindseyGrahamSC @tedcruz  https://t.co/Qp0…
778633595850072064,2016-09-21 16:34:50,More states should follow Gov. @GregAbbott_TX's lead! https://t.co/3bv5zPJlZy
778614928911446016,2016-09-21 15:20:39,RT @jaketapper: More than 1800 --- https://t.co/J3ZRfBXnCn
778609758492176386,2016-09-21 15:00:06,Agree that President Obama should not put free speech at risk on internet by giving up US oversight? Join us:… https://t.co/6dTzaqzZnA
778608944650461184,2016-09-21 14:56:52,RT @RobertBluey: Obama Should Not Put Free Speech at Risk on Internet By Giving Up US Oversight https://t.co/64trLugtgH via @SenTedCruz @Re…
778603918393679872,2016-09-21 14:36:54,RT @marklevinshow: Cruz hammers Obama https://t.co/2t6Prs42VC
778393465541369856,2016-09-21 00:40:38,"""Rock solid."" From @CR: Cruz spares no words and blasts Obama's UN speech --&gt;
https://t.co/bm9uVbEJTG"
778369854176845825,2016-09-20 23:06:49,It's time to come together to ensure that we protect freedom of the internet for generations to come:… https://t.co/x5xubJM6At
778366718091538436,2016-09-20 22:54:21,"RT @AdamMilstein: .@tedcruz cosponsors legislation aimed at bolstering support for #Israel, countering #Iranian threat https://t.co/zJpLi5B…"
